user_id,name,age,gender,email,location,preferred_categories,yuu_member,click_collect_user,account_created,avg_weekly_spend_sgd
U0001,Jun Wong,34,M,jun.wong1@email.com,Tampines,Laundry,True,False,2022-09-08,22.54
U0002,Priya Kumar,21,M,priya.kumar2@email.com,Toa Payoh,Baby and Family Care,False,True,2023-09-09,55.94
U0003,Lin Tan,37,M,lin.tan3@email.com,Bedok,Kitchen Essentials,False,True,2022-12-15,27.42
U0004,John Chen,49,M,john.chen4@email.com,Sengkang,Baby and Family Care | Laundry,True,False,2022-02-14,86.35
U0005,Zara Chen,34,F,zara.chen5@email.com,Tampines,Toiletries and Personal Care | Cleaning Supplies | Kitchen Essentials,True,True,2023-11-09,50.41
U0006,Hui Chen,33,F,hui.chen6@email.com,Tampines,Laundry,True,True,2022-12-30,33.07
U0007,Kavya Chan,23,M,kavya.chan7@email.com,Jurong,Baby and Family Care | Toiletries and Personal Care | Laundry,False,False,2022-11-29,41.42
U0008,Raj Zhang,45,F,raj.zhang8@email.com,Woodlands,Laundry | Toiletries and Personal Care | Baby and Family Care,False,True,2023-05-27,39.73
U0009,Jasmine Goh,45,F,jasmine.goh9@email.com,Bedok,Baby and Family Care | Kitchen Essentials,True,False,2023-08-21,27.27
U0010,Aisha Wong,47,M,aisha.wong10@email.com,Sengkang,Toiletries and Personal Care,False,False,2023-11-28,62.33
U0011,Jasmine Tan,27,F,jasmine.tan11@email.com,Sengkang,Cleaning Supplies | Laundry | Kitchen Essentials,True,False,2022-12-15,20.26
U0012,Sarah Chan,60,M,sarah.chan12@email.com,Woodlands,Toiletries and Personal Care | Cleaning Supplies | Laundry,False,True,2022-11-02,63.15
U0013,Ling Sharma,51,M,ling.sharma13@email.com,Tampines,Baby and Family Care,False,False,2022-11-28,39.16
U0014,Kevin Zhang,24,M,kevin.zhang14@email.com,Woodlands,Cleaning Supplies,False,True,2023-05-13,41.2
U0015,Ryan Ali,39,F,ryan.ali15@email.com,Yishun,Toiletries and Personal Care | Baby and Family Care,False,False,2024-01-01,29.68
U0016,Kevin Lee,34,M,kevin.lee16@email.com,Tampines,Cleaning Supplies | Toiletries and Personal Care,True,True,2023-08-26,25.39
U0017,Aisha Abdullah,37,F,aisha.abdullah17@email.com,Bedok,Baby and Family Care,True,False,2022-09-01,39.44
U0018,Farah Smith,62,F,farah.smith18@email.com,Yishun,Cleaning Supplies,False,False,2022-04-10,57.36
